#{"t_start": 1721008181.7516272, "env_id": "None"}
r,l,t
-27776.968961,600,15.268544
-29210.095194,600,28.167818
-27701.524961,600,41.324821
-27143.810166,600,53.607
-28233.075189,600,66.850955
-27792.003088,600,83.501566
-27528.157717,600,95.989687
-28151.768238,600,108.589204
-27186.167328,600,121.671034
-28619.461211,600,134.913995
-27516.92524,600,149.405417
-27676.913715,600,161.886116
-26202.481598,600,174.586257
-27518.171762,600,187.543527
-27100.781867,600,201.147952
-26629.724141,600,215.548525
-26586.183164,600,228.384493
-25904.499458,600,244.952159
-29221.830744,600,259.817827
-27786.86763,600,275.703121
-26341.08869,600,291.845486
-25738.329305,600,309.648315
-27108.544538,600,322.749106
-28160.19469,600,335.263867
-27244.430629,600,349.607397
-25851.506158,600,366.504576
-25971.796665,600,380.69079
-26305.803872,600,397.887805
-26151.526581,600,410.849596
-25430.167567,600,423.476546
-24583.945653,600,440.981021
-28079.57379,600,457.550265
-27181.441051,600,472.308571
-24987.681743,600,486.58419
-25300.543607,600,502.492987
-25138.123087,600,519.724531
-24660.248341,600,535.167284
-25553.856845,600,548.403898
-26223.855617,600,562.269448
-25638.37332,600,574.475616
-23437.797651,600,587.849745
-26072.407896,600,604.136604
-26238.665743,600,619.854667
-25158.2132,600,636.822288
-24335.163658,600,652.025446
-23178.956036,600,668.47384
-22081.492637,600,682.341148
-23124.990197,600,696.152751
-22741.832259,600,709.830674
-22060.37351,600,724.635853
-21468.873768,600,740.073404
-20844.76223,600,755.248655
-20104.043228,600,768.699038
-20890.639699,600,780.7547
-21489.499198,600,797.918901
-21076.120319,600,815.697707
-20101.268236,600,831.282781
-20230.063608,600,846.678106
-20606.498172,600,863.364939
-22475.194441,600,877.089154
-16122.945213,600,891.584272
-20329.463753,600,904.30411
-17796.300562,600,917.786403
-21058.661731,600,930.078193
-18623.64779,600,947.225047
-16436.03721,600,963.409208
-14924.928658,600,976.820133
-16657.171777,600,990.409977
-14687.376917,600,1005.67424
-17186.474874,600,1019.349626
-14104.411035,600,1033.901855
-14071.748094,600,1049.526859
-14977.516574,600,1064.144392
-14114.68892,600,1078.540431
-16071.677002,600,1094.732184
-13881.867754,600,1107.925724
-13896.322123,600,1120.705516
-13890.266005,600,1134.21273
-13801.578153,600,1147.436202
-13944.138446,600,1162.764622
-13552.844818,600,1177.707567
-13520.615858,600,1193.956867
-13661.362256,600,1206.284308
-13497.977672,600,1222.572341
-13556.522255,600,1234.723748
-13481.363102,600,1251.294847
-13518.821603,600,1264.068257
-13429.732057,600,1275.909687
-13471.470838,600,1287.939202
-13515.587151,600,1300.210764
-13478.254554,600,1314.526529
-13361.327284,600,1327.903323
-13471.94066,600,1339.645741
