#{"t_start": 1721027541.2015257, "env_id": "None"}
r,l,t
-40508.874329,720,27.412319
-40835.280273,720,48.92627
-41471.477794,720,71.905753
-39747.718054,720,91.051225
-40195.117214,720,114.193868
-40733.537169,720,132.952698
-40460.391029,720,156.090165
-41913.865331,720,179.349413
-41420.983611,720,199.361001
-39371.656923,720,219.60055
-40661.545884,720,242.083108
-41551.514859,720,264.485446
-40825.584926,720,285.612945
-41114.413186,720,303.952802
-37966.561692,720,322.015834
-41506.308899,720,343.282296
-39736.90545,720,365.852548
-39366.029661,720,385.95703
-40000.020445,720,403.803334
-39886.074918,720,424.518159
-38704.622333,720,443.933501
-39028.825263,720,463.617064
-36119.793876,720,483.826193
-38379.975352,720,503.273483
-39091.557594,720,519.943437
-38225.480324,720,542.832271
-36273.604855,720,561.630477
-38055.67201,720,582.032501
-37637.150521,720,598.920169
-36569.382407,720,620.206835
-36692.321056,720,642.265038
-38820.951156,720,663.830385
-37624.907962,720,687.426452
-37205.369016,720,706.194999
-35858.056497,720,727.366661
-35027.696969,720,747.275512
-34900.981484,720,767.215794
-35286.213539,720,792.831328
-34281.427398,720,811.904812
-35307.456248,720,830.023906
-35336.079153,720,848.762183
-34564.949268,720,871.663232
-35089.553401,720,889.145412
-34497.090919,720,910.777894
-32932.816278,720,930.932689
-34312.727906,720,950.947371
-32713.56946,720,969.27811
-32830.165962,720,987.87622
-32128.445507,720,1009.158645
-33190.053893,720,1033.446949
-32134.168263,720,1055.203234
-30719.56257,720,1075.934057
-30553.002498,720,1093.572343
-30798.840484,720,1114.213737
-30500.181327,720,1136.342669
-30316.028859,720,1155.895002
-31199.975753,720,1177.15667
-29171.621691,720,1197.024796
-29867.484061,720,1219.899139
-29715.12665,720,1239.126985
-29807.194026,720,1256.294522
-28968.167803,720,1277.253736
-28169.939415,720,1301.01791
-28056.636099,720,1318.150547
-28181.055007,720,1334.662497
-27966.755333,720,1354.862728
-28013.488128,720,1374.37226
-27300.784389,720,1390.566103
-27309.198458,720,1410.149132
-27552.255539,720,1427.217082
-27655.340479,720,1443.938278
-26608.316302,720,1461.050527
-26281.019142,720,1485.468162
-26298.898622,720,1505.82777
-26399.131859,720,1528.331313
-25857.446985,720,1548.611956
-25254.270386,720,1567.274577
-25874.923402,720,1586.686098
-25412.86925,720,1602.561415
-24735.660072,720,1619.784695
-24861.348629,720,1636.945355
-24765.992578,720,1656.786266
-25084.538912,720,1675.267364
