#{"t_start": 1721023334.3293004, "env_id": "None"}
r,l,t
-30075.747068,600,15.099416
-31036.117018,600,29.052936
-30139.074858,600,43.707815
-31329.620454,600,57.440427
-29992.711339,600,70.804024
-31491.049997,600,85.797769
-31423.790886,600,98.489518
-31128.402176,600,113.297129
-31665.280694,600,126.369676
-31258.953438,600,139.658601
-31944.298556,600,152.753226
-30793.442827,600,167.093807
-31554.870231,600,181.21251
-30030.134156,600,195.862382
-33489.677641,600,211.172847
-31798.817129,600,227.516014
-30709.433392,600,244.104855
-32888.394153,600,258.239278
-29939.230652,600,277.041523
-31478.865649,600,289.958005
-30384.622392,600,303.875372
-31753.799588,600,316.133259
-30011.693289,600,329.250798
-31185.417524,600,341.397634
-30586.225882,600,355.732124
-30410.408716,600,454.091021
-29235.011197,600,469.634648
-30939.309315,600,480.506226
-32712.064868,600,495.563454
-31028.859759,600,507.081971
-30617.173181,600,520.629569
-29489.603385,600,534.492628
-30632.716425,600,546.289438
-30944.622758,600,556.817678
-31263.999901,600,569.910594
-30647.935761,600,586.089914
-30616.467882,600,602.462181
-30755.80943,600,616.67308
-30505.798802,600,630.565111
-30326.532436,600,645.129117
-29926.081649,600,661.489092
-28817.94539,600,674.69264
-29000.816717,600,687.174354
-29006.789912,600,701.521862
-29825.712556,600,716.862727
-28489.077144,600,727.939611
-28092.883445,600,741.263961
-29083.326092,600,755.934685
-27448.102835,600,768.44998
-29135.081095,600,781.750189
-26689.859497,600,795.52524
-26974.724183,600,808.754586
-28655.766162,600,823.598862
-26217.489074,600,838.419794
-27054.083856,600,848.8014
-26761.299932,600,861.273454
-26417.947989,600,874.68141
-26414.910285,600,888.263661
-28606.942584,600,901.188314
-25958.136047,600,915.944139
-26387.051224,600,929.984253
-26502.341099,600,941.381114
-24915.444257,600,955.077882
-26300.111004,600,969.422202
-26870.729196,600,984.656208
-24361.298346,600,1001.665553
-25533.992194,600,1012.612823
-24541.352921,600,1027.06423
-24370.612924,600,1043.111991
